,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6843047699859121724,"Ganhe 6 meses de acesso ao Pluralsight, maior plataforma de treinamento online",Criando ícones animados no Android,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Gartner Reprint,New MacBook Pro is not a Laptop for Developers Anymore,What Color is Your Function?
-6840859460575237450,Este texto do Ranieri é a melhor coisa que você lerá hoje,DBA BRASIL no INTEROPMIX 2016,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Will blockchain drive the fourth Industrial Revolution?,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada
-6820241302436968068,Goodbye accountants! Startup builds AI to automate all your accounting,Creating value in auto finance with vLendRight | Kevin Moseri,Algorithms and architecture for job recommendations,Google acquires deep search engine Kifi to enhance its Spaces group chat app,How to Create an Exponential Mindset,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio
-6783772548752091658,Livro: Retrospectivas Divertidas,"Novo workaholic trabalha, pratica esportes e tem tempo para a família. Conheça",How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,4 Reasons Managers Should Spend More Time on Coaching,Ray Kurzweil: The world isn't getting worse - our information is getting better,Cinco competências comportamentais para você ser um bom líder
-6778286518036232293,The Future of Business is Design,"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Big IT Rising,O tênue equilíbrio da equipe que desenha produtos digitais,"Google, Amazon and the upcoming battle over AI Assistants",A digital crack in banking's business model
-6772940823843058601,Visa inaugura centro para inovação em pagamento digital | EXAME.com,Building Spring Cloud Microservices That Strangle Legacy Systems,Internet of Things Drives Outcome-Based Business Models,gotwarlost/istanbul,The technology behind preview photos,bliki: StranglerApplication
-6728844082024523434,Seniority,The Ten Commandments of Egoless Programming,Salesforce Architect Journey,On DRY and the cost of wrongful abstractions,Client-side ranking to more efficiently show people stories in feed,When to make a Git Commit
-6727357771678896471,This Super Accurate Portrait Selection Tech Uses Neural Networks,The barbell effect of machine learning.,Artificial intelligence is changing SEO faster than you think,Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Up your app's sharing game with DirectShare - Google Developers
-6726685468116057064,Steak Tartare com Salada Verde,Evernote anuncia integração com Google Drive | Google Discovery,Wide & Deep Learning: Better Together with TensorFlow,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack","Google lança Science Journal, aplicativo de ciências para Android | Google Discovery"
-6707474286910397949,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Dries Buytaert,Why Is Learning Drupal Hard?,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Acquia Engage Awards Finalists Announced,Cross-channel user experiences with Drupal
-6697357763177451167,Starbucks tem mais dinheiro do cliente em cartões do que bancos,CMN regulamenta abertura de conta de depósito por meio eletrônico,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Visa Introduces NFC-Enabled Payment Ring for Team Visa Sponsored Athletes to Use at Rio 2016 Olympic Games
-6654470039478316910,Advanced Android Espresso,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,"How to build a robot that ""sees"" with $100 and TensorFlow",Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Using DiffUtil in Android RecyclerView,My favorite people and resources to learn Android programming from
-6643406494673362190,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Não existe frete grátis!,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly
-6642751159620064055,What to look for in a code review ,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Meet Aquifer: A build system for easier Drupal development,Why Is Learning Drupal Hard?,Drupal and ambitious digital experiences
-6623581327558800021,"Spanner, the Google Database That Mastered Time, Is Now Open to Everyone",How enterprise architects can help ensure success with digital transformations,"What do you mean by ""Event-Driven""?",On DRY and the cost of wrongful abstractions,When to make a Git Commit,Don't document your code. Code your documentation.
-6603970730135147059,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Visa lança desafio para startups de tecnologia - Startupi,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,6 exemplos de como usar computação cognitiva | EXAME.com,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery"
-6603351162010419903,VersionOne AgilelIVE™ Webinar Series| SAFe® Expert Webinar,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,Por que a limitação da banda larga é uma forma de ignorar o futuro,An operating model for company-wide agile development,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,Do you want Crappy Agile?
-6592496241044177853,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,A digital crack in banking's business model,The Business Case for Progressive Web Apps,Usability Heuristics for Bots - Chatbots Magazine,How to Design a Walkthrough That Users Will Read
-6590819806697898649,Listas com RecyclerView - Android Dev BR,Using DiffUtil in Android RecyclerView,What makes a good (Android) Software Engineer,My experience with Google's Associate Android Developer Certification,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Advanced Android Espresso
-6590064508646491981,Kotlin no Backend (Parte 2) :: Concrete Solutions,"Kotlin in Production - What works, Whats broken",Building Flipkart Lite: A Progressive Web App,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Combining Spring Boot and JDBI,Standing on the Shoulders of Giants - Built to Adapt
-6584408680441477889,O que é liderança? Liderança é fazer a diversidade funcionar.,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,Workplace diversity in Brazil: there's still a long way to go,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","No dia das mães, Avon lança campanha com mãe de jovem gay"
-6579094253358169934,"Who Owns Digital Transformation? According To A New Survey, It's Not The CIO",Google Cloud Goes to the Farm,"Carne artificial acabará com o agronegócio brasileiro, afirma especialista",Mobile marketing statistics 2016,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Mobile Time
-6545872007932025533,Why Silicon Valley is all wrong about Apple's AirPods - Chris Messina,Android Developers Summer Reading List,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"A whole new GitHub Universe: announcing new tools, forums, and features",The hardest thing in computer science,bliki: StranglerApplication
-6542996094878850014,How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,8 Insanely Simple Productivity Hacks,Campus São Paulo: conheça a primeira turma do Programa de Residentes,The rise of APIs,Facebook's WhatsApp does something very different than Google,Google may be considering Swift for use on Android
-6523871595334455509,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Closure Compiler in JavaScript,Cubr,Standing on the Shoulders of Giants - Built to Adapt,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Advanced Android Espresso
-6484638837208285334,"5 awesome Google Keep features you aren't using, but should be",Why the customer experience matters,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",The Difference Between Sympathy And Empathy - Expanded Consciousness,Is FinTech Forcing Banking to a Tipping Point?,Governo brasileiro cria manual para contratação de cloud
-6467708104873171151,5 reasons your employees aren't sharing their knowledge,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Machine Learning and the VP Debate,Why Google App Engine rocks: A Google engineer's take,Bad Writing Is Destroying Your Company's Productivity,Graph Capabilities with the Elastic Stack
-6444494220871855741,Novo padrão de rede cabeada pode oferecer até 5 Gbps transferência de dados,"What do you mean by ""Event-Driven""?",Communication patterns in a Microservice world,One weird trick that will change the way you code forever: JavaScript TDD,Containers are not VMs,Our password hashing has no clothes
-6400214860728938634,"How to build a robot that ""sees"" with $100 and TensorFlow",Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Cubr,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Building Flipkart Lite: A Progressive Web App,Advanced Android Espresso
